Url,Anchor Text,External
https://mycocosm.jgi.doe.gov/mycocosm/home,,FALSE
https://mycocosm.jgi.doe.gov/fungi/fungi.info.html#skipnav,Skip To Main Content,FALSE
https://jgi.doe.gov/,JGI Home,TRUE
https://genome.jgi.doe.gov/portal,Genome Portal,TRUE
https://mycocosm.jgi.doe.gov/mycocosm/home,MycoCosm,FALSE
https://phycocosm.jgi.doe.gov/phycocosm/home,PhycoCosm,TRUE
javascript: if(top.window.location.href.search('accessDenied')==-1) { document.cookie='jgi_return=' + escape(top.window.location.href) + '; domain=jgi.doe.gov; path=/;'; } top.window.location.href='https://signon.jgi.doe.gov/signon';,Login,TRUE
https://mycocosm.jgi.doe.gov/mycocosm/species-tree/tree?organism=fungi,Tree,FALSE
https://mycocosm.jgi.doe.gov/pages/search-for-genes.jsf?organism=fungi,Search,FALSE
https://mycocosm.jgi.doe.gov/pages/blast-query.jsf?db=fungi,BLAST,FALSE
https://mycocosm.jgi.doe.gov/fungi/fungi.info.html#,Annotations,FALSE
https://mycocosm.jgi.doe.gov/mycocosm/annotations/browser/pfam/summary?p=fungi,PFAM Domains,FALSE
https://mycocosm.jgi.doe.gov/pages/sm-clusters-summary.jsf?organism=fungi&genomes=fungi,Secondary Metabolism Clusters,FALSE
https://mycocosm.jgi.doe.gov/mycocosm/annotations/browser/cazy/summary?p=fungi,CAZymes,FALSE
https://mycocosm.jgi.doe.gov/mycocosm/annotations/browser/merops/summary?p=fungi,Peptidases,FALSE
https://mycocosm.jgi.doe.gov/mycocosm/annotations/browser/tcdb/summary?p=fungi,Transporters,FALSE
https://mycocosm.jgi.doe.gov/mycocosm/annotations/browser/transfactor/summary?p=fungi,Transcription Factors,FALSE
https://mycocosm.jgi.doe.gov/clm/run/fungi-2017-01.1863?organismsGroup=fungi,MCL Clusters,FALSE
https://mycocosm.jgi.doe.gov/fungi/geomapping/map,Geo Mapping,FALSE
https://genome.jgi.doe.gov/portal/fungi/fungi.download.html,Download,TRUE
