Row,Name,Assembly Length,# Genes,Published
1,Aaosphaeria arxii CBS 175.79 v1.0,"38,901,049","14,203","Haridas S et al., 2020"
2,Abortiporus biennis CCBS 521 v1.0,"45,165,060","11,987",
3,Abortiporus biennis ​CIRM-BRFM 1778 v1.0,"33,118,568","11,767","Hage H et al., 2021"
4,Absidia caerulea NRRL1315 v1.0,"44,401,174","13,367",
6,Absidia repens NRRL 1336 v1.0,"47,422,896","14,919","Mondo SJ et al., 2017"
7,Acaromyces ingoldii MCA 4198 v1.0,"19,330,111","8,025","Kijpornyongpan T et al., 2018"
9,Acephala macrosclerotiorum EW76-UTF0540 v1.0,"73,683,338","21,024","Miyauchi S et al., 2020"
11,Achaetomium strumarium CBS333.67 v1.0,"32,422,668","10,185","Hensen N et al., 2023"
13,Acidomyces richmondensis BFW (metagenome-extracted),"26,819,972","10,352","Mosier AC et al., 2016"
15,Acremonium chrysogenum ATCC 11550,"28,563,214","8,899","Terfehr D et al., 2014"
17,Acrocalymma medigans LGMF1605 v1.0,"49,295,441","16,073",
19,Actinomortierella ambigua BC1065,"37,923,144","9,892","Vandepol N et al., 2020"
21,Actinomortierella wolfii NRRL 66265,"34,053,379","8,707","Vandepol N et al., 2020"
23,Agaricus bisporus var bisporus (H97) v2.0,"30,233,745","10,438","Morin E et al., 2012"
25,Agrocybe pediades AH 40210 v1.0,"45,056,484","17,281","Ruiz-Dueñas FJ et al., 2021"
26,Agrocybe praecox OKM6292 v1.0,"46,411,657","12,993",
28,Allomyces macrogynus ATCC 38327,"57,060,573","19,446","Amses KR et al., 2022"
29,Alternaria alternata ATCC11680,"33,569,022","12,323",
30,Alternaria alternata ATCC66891,"33,155,677","11,635",
31,Alternaria alternata BMP0270,"33,405,558","12,290",
33,Alternaria alternata SRC1lrK2f v1.0,"32,990,834","13,469","Zeiner CA et al., 2016"
35,Alternaria brassicicola,"31,974,449","10,688","Ohm RA et al., 2012"
37,Alternaria capsici BMP0180,"31,350,549","11,487",
38,Alternaria carthami BMP1963,"32,682,385","12,071",
40,Alternaria crassa BMP0172,"32,620,762","11,663",
42,Alternaria fragaria BMP3062,"33,135,386","12,272",
44,Alternaria limoniasperae BMP2335,"34,784,411","12,966",
45,Alternaria longipes BMP0313,"35,738,013","13,219",
46,Alternaria macrospora BMP1949,"31,350,355","11,961",
48,Alternaria mali BMP3064,"34,331,800","12,715",
49,Alternaria porri BMP0178,"29,243,729","12,232",
50,Alternaria rosae MPI-PUGE-AT-0040 v1.0,"33,831,682","12,640","Mesny F et al., 2021"
51,Alternaria solani BMP0185,"31,129,923","12,258",
53,Alternaria sp. UNIPAMPA017 v1.0,"42,692,616","13,067",
55,Alternaria tenuissima BMP0304,"33,361,765","12,276",
56,Alternaria tomatophila BMP2032,"32,326,748","12,601",
58,Amanita muscaria Koide v1.0,"40,699,759","18,153","Kohler A et al., 2015"
59,Amanita muscaria var. formosa 2016PMI152 v1.0,"110,261,529","15,793",
60,Amanita rubescens Přilba v1.0,"76,593,165","16,076","Miyauchi S et al., 2020"
61,Amanita thiersii Skay4041 v1.0,"33,689,220","10,354","Hess J et al., 2014"
62,Ambrosiozyma philentoma NRRL Y-7523,"17,710,905","6,975","Krassowski T et al., 2018"
63,Amniculicola lignicola CBS 123094 v1.0,"49,576,578","15,590","Haridas S et al., 2020"
64,Amorphotheca resinae v1.0,"28,632,928","9,642","Martino E et al., 2018"
65,Ampelomyces quisqualis HMLAC05119 v1.0,"36,811,257","11,144","Haridas S et al., 2020"
66,Amphiamblys sp. WSBS2006,"5,620,147","3,642","Mikhailov KV et al., 2017"
67,Amylocarpus encephaloides TRa018bII v1.0,"46,286,790","11,869","Hagestad OC et al., 2021"
68,Amylocorticium subincarnatum OMC1654 v1.0,"45,931,636","10,977",
69,Amylocystis lapponica SKaAmylap13 v1.0,"35,500,685","11,559","Hage H et al., 2021"
70,Amylomyces rouxii NRRL 5866 v1.0,"45,703,929","14,619","Wang Y et al., 2023"
71,Amylostereum chailletii DWAch2 v1.0,"38,204,724","14,750","Looney B et al., 2022"
72,Anaeromyces robustus v1.0,"71,685,009","12,832","Haitjema CH et al., 2017"
74,Annulohypoxylon maeteangense CBS 123835 v1.0,"38,245,008","11,000","Franco MEE et al., 2022"
75,Annulohypoxylon minutellum CBS 135445 v1.0,"35,660,783","10,913","Franco MEE et al., 2022"
76,Annulohypoxylon moriforme CBS 123579 v1.0,"42,658,955","11,683","Franco MEE et al., 2022"
77,Annulohypoxylon nitens CBS 120705 v1.0,"38,537,808","11,873","Franco MEE et al., 2022"
78,Annulohypoxylon sp. FL0455 v1.0,"38,293,319","11,162",
79,Annulohypoxylon stygium FL0470 v1.0,"38,544,935","11,880","Franco MEE et al., 2022"
80,Annulohypoxylon truncatum CBS 140777 v1.0,"38,067,699","11,151","Franco MEE et al., 2022"
81,Anomoloma albolutescens OMC1655 v1.0,"41,350,632","11,099",
83,Anomoporia kamtschatica OMC1758 v1.0,"63,215,704","14,978",
84,Anomoporia myceliosa MJL 4413 v1.0,"45,712,503","11,797",
86,Anthostoma avocetta NRRL 3190 v1.0,"56,234,513","15,755",
88,Anthostomella tomicoides 1013 v1.0,"54,282,845","14,344",
90,Antonospora locustae HM-2013,"6,074,860","2,606","Slamovits CH et al., 2004"
92,Antrodia sinuosa LB1 v1.0,"30,168,058","11,327",
94,Aphanobasidium pseudotsugae OMC1630 v1.0,"32,195,292","11,120",
96,Apiosordaria verruculosa CBS 315.58 v1.0,"37,862,799","11,838","Hensen N et al., 2023"
98,Aplosporella prunicola CBS 121.167 v1.0,"32,818,685","12,579","Haridas S et al., 2020"
100,Aporpium caryae L-13461,"39,532,937","16,571",
101,Aquilomyces patris DSE4099 v1.0,"49,872,950","15,960",
103,Armillaria cepistipes B5,"75,828,441","23,460","Sipos G et al., 2017"
105,Armillaria fumosa CBS 122221 v1.0,"55,824,865","16,095","Sahu N et al., 2023"
107,Armillaria luteobubalina HWK02 v1.0,"97,106,278","20,318","Sahu N et al., 2023"
109,Armillaria mellea ELDO17 v1.0,"70,856,304","15,646","Sahu N et al., 2023"
111,Armillaria novae-zelandiae 2840 v1.0,"79,334,843","18,551","Sahu N et al., 2023"
113,Armillaria solidipes 28-4 v1.0,"58,009,494","20,811","Sipos G et al., 2017"
115,Arthrinium esporlense UNIPAMPA010 v1.0,"43,456,354","13,950",
117,Arthrobotrys oligospora ATCC 24927,"40,072,829","11,479","Yang J et al., 2011"
119,Artolenzites elegans CIRM-BRFM 1122 v1.0,"33,812,861","11,945","Hage H et al., 2021"
120,Artolenzites elegans CIRM-BRFM 1663 v1.0,"33,075,802","12,851",
122,Ascobolus immersus RN42 v1.0,"59,529,874","17,877","Murat C et al., 2018"
124,Ascocoryne sarcoides NRRL50072,"34,170,264","10,672","Gianoulis TA et al., 2012"
125,Ascodesmis nigricans CBS 389.68 v1.0,"27,385,218","9,622","Lütkenhaus R et al., 2019"
126,Ascoidea rubescens NRRL Y17699 v1.0,"17,503,998","6,802","Riley R et al., 2016"
127,Ascosphaera apis ARSEF 7405,"20,313,079","6,442","Shang Yanfang et al., 2016"
128,Asordaria arctica CBS 143.68 v1.0,"39,644,034","10,659",
129,Aspergillus acristatulus CBS 119.55 v1.0,"32,593,788","11,221",
130,Aspergillus aculeatinus CBS 121060 v1.0,"36,471,649","12,027","Vesth TC et al., 2018"
131,Aspergillus aculeatus ATCC16872 v1.1,"35,424,414","10,845","de Vries RP et al., 2017"
132,Aspergillus affinis CBS 129190 v1.0,"37,303,864","12,409",
133,Aspergillus alabamensis v1.0,"31,994,729","11,841","Theobald S et al., 2024"
135,Aspergillus allahabadii v1.0,"29,783,189","11,228","Theobald S et al., 2024"
137,Aspergillus ambiguus v1.0,"29,374,911","11,088","Theobald S et al., 2024"
138,Aspergillus amoeneus CBS 111.32 v1.0,"33,399,842","13,460",
139,Aspergillus amylovorus CBS 600.67 v1.0,"34,894,441","12,857",
140,Aspergillus angustatus CBS 273.65 v1.0,"35,554,119","13,549",
142,Aspergillus arachidicola v1.0,"39,764,385","13,895","Kjærbølling I et al., 2020"
144,Aspergillus arxii CBS 52583 v1.0,"27,919,226","10,666",
145,Aspergillus assulatus CBS 27911 v1.0,"30,732,071","10,548",
147,Aspergillus aurantiobrunneus CBS 465.65 v1.0,"31,381,522","11,287",
149,Aspergillus aureofulgens IBT 27100 v1.0,"32,899,741","11,485",
150,Aspergillus aureolatus CBS 190.65 v1.0,"29,565,690","10,922",
151,Aspergillus aureoluteus CBS 105.55 v1.0,"33,749,143","10,768",
153,Aspergillus austroafricanus IBT 32289 v1.0,"33,241,807","13,195",
155,Aspergillus bertholletius IBT 29228 v1.0,"37,014,000","12,948","Kjærbølling I et al., 2020"
156,Aspergillus bicolor CBS425.77 v1.0,"35,543,638","12,438",
158,Aspergillus bisporus CBS 707.71 v1.0,"27,095,172","9,731",
160,Aspergillus botucatensis CBS 114221 v1.0,"34,492,499","11,812",
162,Aspergillus brevijanus CBS 111.46 v1.0,"36,004,448","12,832",
164,Aspergillus brevistipitatus v1.0,"28,615,967","10,133",
166,Aspergillus caelatus CBS 763.97 v1.0,"40,016,351","13,916","Kjærbølling I et al., 2020"
168,Aspergillus calidoustus,"41,102,685","15,139","Horn F et al., 2016"
170,Aspergillus californicus CBS 123895 v1.0,"36,744,266","13,881",
172,Aspergillus candidus CBS 102.13 v1.0,"27,317,772","9,641","Kjærbølling I et al., 2018"
174,Aspergillus capensis CBS 138188 v1.0,"32,934,471","11,706",
176,Aspergillus carbonarius ITEM 11822 v1.0,"32,376,854","11,187",
177,Aspergillus carbonarius ITEM 12550 v1.0,"32,467,065","11,216",
178,Aspergillus carbonarius ITEM 5010 v3,"36,290,756","11,624","de Vries RP et al., 2017"
180,Aspergillus carbonarius ITEM 5010 v4.1,"36,081,958","11,710",
182,Aspergillus cejpii CBS 157.66 v1.0,"23,134,241","8,391",
184,Aspergillus chevalieri CBS 522.65 v1.0,"26,413,841","10,253",
185,Aspergillus christenseniae CBS 411.64 v1.0,"32,471,461","11,470",
187,Aspergillus cibarius DTO 197-D3 v1.0,"27,075,439","9,889",
189,Aspergillus clavatus NRRL 1 from AspGD,"27,859,441","9,121","Arnaud MB et al., 2012"
191,Aspergillus conjunctus CBS 476.65 v1.0,"33,840,813","12,025",
193,Aspergillus coremiiformis CBS 553.77 v1.0,"30,132,285","9,078","Kjærbølling I et al., 2020"
195,Aspergillus costaricaensis CBS 115574 v1.0,"36,947,918","11,966","Vesth TC et al., 2018"
197,Aspergillus creber IBT 32277 v1.0,"35,476,325","13,531",
199,Aspergillus cristatus GZAAS20.1005,"28,454,192","10,344","Ge Y et al., 2016"
200,Aspergillus croceus CBS 134396 v1.0,"27,259,776","10,145",
201,Aspergillus crustosus CBS 478.65 v1.0,"37,360,539","12,063",
203,Aspergillus deflectus CBS 109.55 v1.0,"27,300,077","9,580",
205,Aspergillus desertorum CBS 653.73 v1.0,"29,041,708","10,111",
206,Aspergillus dimorphicus CBS 649.79 v1.0,"32,395,440","12,265",
208,Aspergillus duricaulis CBS 481.65 v1.0,"30,322,558","10,468",
210,Aspergillus elegans CBS 116.39 v1.0,"37,553,232","13,286",
212,Aspergillus endophyticus DTO 354-I2 v1.0,"27,502,081","10,426",
214,Aspergillus falconensis CBS 271.91 v1.0,"34,128,579","11,645",
216,Aspergillus fijiensis CBS 313.89 v1.0,"36,513,906","12,019","Vesth TC et al., 2018"
217,Aspergillus filifera CBS 114510 v1.0,"31,484,740","11,686",
218,Aspergillus flavipes CBS 22552 v1.0,"35,257,526","13,390",
219,Aspergillus flavus NRRL3357,"36,790,245","12,604","Arnaud MB et al., 2012"
220,Aspergillus flavus NRRL3357 v1.0,"37,749,288","13,715","Skerker JM et al., 2021"
222,Aspergillus flocculosus v1.0,"34,735,525","12,432",
223,Aspergillus floridensis DTO 198-A8 v1.0,"35,476,287","11,629",
224,Aspergillus foveolata CBS 279.81 v1.0,"31,779,079","11,115",
225,Aspergillus frequens CBS 586.65 v1.0,"33,664,157","12,444",
226,Aspergillus fructiculosus v1.0,"34,337,063","11,612",
227,Aspergillus fumigatiaffinis CBS 117186 v1.0,"33,218,226","11,917",
228,Aspergillus fumigatus A1163,"29,205,420","9,916","Fedorova ND et al., 2008"
229,Aspergillus fumigatus Af293 from AspGD,"29,388,377","9,781","Nierman WC et al., 2005"
230,Aspergillus fumigatus P4 SB v1.0,"28,840,150","8,340",
231,Aspergillus fumisynnematus IBT 28474 v1.0,"32,126,662","11,626",
233,Aspergillus galapagensis CBS 117522 v1.0,"29,972,746","11,453",
234,Aspergillus germanicus CBS 123887 v1.0,"39,479,152","14,761",
236,Aspergillus glaucus v1.0,"27,993,362","11,277","de Vries RP et al., 2017"
238,Aspergillus haitiensis CBS 468.91 v1.0,"35,849,033","11,396",
239,Aspergillus heteromorphus CBS 117.55 v1.0,"35,607,567","11,133","Vesth TC et al., 2018"
240,Aspergillus heterothallicus CBS 489.65 v1.0,"37,429,956","13,761",
241,Aspergillus heyangensis CBS 101751 v1.0,"32,158,123","11,091",
243,Aspergillus homomorphus CBS 101889 v1.0,"34,054,866","11,361","Vesth TC et al., 2018"
244,Aspergillus hortai IBT 26384 v1.0,"30,242,590","11,172",
246,Aspergillus igneus CBS 466.65 v1.0,"33,547,489","11,877",
247,Aspergillus iizukae CBS 541.69 v1.0,"32,658,954","12,279",
248,Aspergillus implicatus CBS 484.95 v1.0,"39,195,316","13,656",
249,Aspergillus indicus v2.0,"32,492,420","11,361",
251,Aspergillus inflatus CBS 123889 v1.0,"29,258,026","10,214",
253,Aspergillus insuetus CBS 107.25 v1.0,"40,452,873","15,211",
254,Aspergillus intermedius CBS 116.62 v1.0,"26,557,219","9,979",
256,Aspergillus japonicus CBS 114.51 v1.0,"36,099,954","12,024","Vesth TC et al., 2018"
257,Aspergillus jensenii IBT 32279 v1.0,"35,070,805","13,722",
258,Aspergillus karnatakaensis CBS 102800 v1.0,"36,255,367","13,540",
260,Aspergillus keveii CBS 209.92 v1.0,"41,415,647","15,687",
262,Aspergillus lentulus CBS 117885 v1.0,"30,572,422","11,171",
263,Aspergillus leporis CBS 151.66 v1.0,"39,425,861","12,745","Kjærbølling I et al., 2020"
264,Aspergillus longivesica v1.0,"26,674,246","9,605",
265,Aspergillus luchuensis CBS 106.47 v1.0,"37,468,345","13,530","de Vries RP et al., 2017"
266,Aspergillus lucknowensis CBS 449.75 v1.0,"30,792,796","11,541",
267,Aspergillus luppii CBS 653.74 v1.0,"33,321,554","11,947",
269,Aspergillus megasporus DTO 048-I3 v1.0,"27,682,145","10,914",
270,Aspergillus microcysticus v1.0,"25,913,919","10,236","Theobald S et al., 2024"
271,Aspergillus minisclerotigenes CBS 117635 v1.0,"37,064,162","13,415","Kjærbølling I et al., 2020"
272,Aspergillus miraensis CBS 140625 v1.0,"34,175,843","12,183",
273,Aspergillus montevidensis CBS 491.65 v1.0,"25,682,105","9,792",
274,Aspergillus mottae CBS 130016 v1.0,"39,264,528","13,335",
275,Aspergillus multicolor v1.0,"35,254,497","12,821",
276,Aspergillus multiplicatus CBS 646958 v1.0,"28,914,259","10,498",
277,Aspergillus muricatus v1.0,"34,116,413","11,718",
278,Aspergillus nakazawae v1.0,"36,345,397","12,556",
279,Aspergillus navahoensis v1.0,"32,760,877","11,625",
281,Aspergillus neocaesiellus DTO 356-D2 v1.0,"22,520,997","8,563",
282,Aspergillus neocarnoyi CBS 471.65 v1.0,"25,849,292","9,954",
283,Aspergillus neoconicus CBS 233.90 v1.0,"23,271,819","9,036",
284,Aspergillus neoechinulatus CBS120.55 v1.0,"30,669,358","10,504",
286,Aspergillus neoglaber CBS 111.55 v1.0,"31,311,304","10,692",
287,Aspergillus neoindicus CBS 444.75 v1.0,"30,897,550","11,849","Theobald S et al., 2024"
289,Aspergillus neostromatioides CBS 265.73 v1.0,"36,225,030","12,213",
290,Aspergillus neowarcupii IBT 29024 v1.0,"30,343,332","10,853",
291,Aspergillus nidulans,"30,483,994","10,680","Arnaud MB et al., 2012"
292,Aspergillus niger (lacticoffeatus) CBS 101883 v1.0,"35,855,892","13,083","Vesth TC et al., 2018"
294,Aspergillus niger ATCC 1015 v4.0,"34,853,277","11,910","Andersen MR et al., 2011"
295,Aspergillus niger ATCC 13496 v2.0,"36,007,791","12,492",
296,Aspergillus niger CBS 513.88,"33,975,768","14,097","Pel HJ et al., 2007"
297,Aspergillus niger NRRL3,"35,245,396","11,846","Vesth TC et al., 2018"
298,Aspergillus niger van Tieghem ATCC 13496 v1.0,"35,690,699","12,197","Vesth TC et al., 2018"
299,Aspergillus nishimurae IFM 54133 v1.0,"30,189,492","9,648",
300,Aspergillus niveus CBS 471.91 v1.0,"30,196,435","11,488",
301,Aspergillus nomius IBT 12657 v1.0,"36,713,177","12,897","Kjærbølling I et al., 2020"
302,Aspergillus nomius NRRL 13137,"36,138,823","11,914","Moore GG et al., 2015"
303,Aspergillus novofumigatus IBT 16806 v1.0,"32,440,129","11,549","Kjærbølling I et al., 2018"
304,Aspergillus novoparasiticus CBS 126849 v1.0,"40,857,493","14,182","Kjærbølling I et al., 2020"
305,Aspergillus nutans CBS 121.56 v1.0,"34,348,625","11,620",
307,Aspergillus ochraceoroseus SRRC1432,"24,273,657","7,829","Moore GG et al., 2015"
308,Aspergillus ochraceus ITEM 7043 v1.0,"35,604,108","12,066",
310,Aspergillus oerlinghausenensis CBS 139183 v1.0,"32,346,555","9,989",
311,Aspergillus olivicola v1.0,"33,173,879","12,183",
312,Aspergillus oryzae RIB40,"37,882,812","12,030","Arnaud MB et al., 2012"
314,Aspergillus pachycristatus IBT 23550 v1.0,"32,185,508","10,869",
315,Aspergillus paleaceus CBS 498.65 v1.0,"28,803,558","9,845",
316,Aspergillus papuensis CBS 841.96 v1.0,"31,205,458","11,780",
318,Aspergillus parafelis IBT 34187 v1.0,"32,054,234","11,119",
320,Aspergillus parvisclerotigenus CBS 121.62 v1.0,"37,617,783","13,595","Kjærbølling I et al., 2020"
322,Aspergillus penicilloides CBS 540.65 v1.0,"26,403,364","10,386",
323,Aspergillus pernambucoensis CBS 137449 v1.0,"27,066,822","9,865",
